horizon,target,model,uses_covariates,n_covariates,covariates,predictor_id,mean_crps,n_scores,n_predictions,skipped_origins,dir_precision_up,dir_recall_up,dir_f1_up,dir_accuracy,dir_roc_auc_prob_up,dir_n_eval
1,tsx_logret_1b,agent_predictor_tsx_analyst_code_claude-sonnet-4-6_continuous,False,0,—,agent_predictor_tsx_analyst_code_claude-sonnet-4-6_continuous,0.005589135781571918,12,12,1,0.875,1.0,0.9333333333333333,0.9166666666666666,0.942857142857143,12
5,tsx_logret_5b,agent_predictor_tsx_analyst_code_claude-sonnet-4-6_continuous,False,0,—,agent_predictor_tsx_analyst_code_claude-sonnet-4-6_continuous,0.009469615235474477,13,13,0,0.6363636363636364,1.0,0.7777777777777778,0.6923076923076923,0.6428571428571429,13
21,tsx_logret_21b,agent_predictor_tsx_analyst_code_claude-sonnet-4-6_continuous,False,0,—,agent_predictor_tsx_analyst_code_claude-sonnet-4-6_continuous,0.018496074662270334,12,12,1,0.8,0.8888888888888888,0.8421052631578947,0.75,0.7037037037037037,12
